Departement,Espece,Lib_zone,Zone,Groupe
29,Coques,Baie de Locquirec,2229.00.02 ,2
29,Coques et Palourdes,Rivière Pont l’Abbé,29.07.040,2
29,Coques et Palourdes,Rivière Pont l’Abbé,29.07.050,2
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.07.061,2
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.07.062,2
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.08.020,2
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.08.030,2
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.08.042,2
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.08.050,2
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.08.070,2
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),2956.08.090,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.01.020,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.01.030,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.01.040,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.01.900,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.01.060,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.020,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.010,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.020,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.030,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.070,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.080,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.112,2
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.05.30,2
56,Coques et Palourdes,Rivière d’Etel ,56.05.4,2
56,Coques et Palourdes,Rivière d’Etel ,56.05.5,2
22,Coques et Palourdes,Banc du Guer,22.11.10,2
22,Coques et Palourdes,Goas Treiz (Trebeurden),22.10.10,2
